No.  Dim  Chc  Dgn  Prt  T/B  L/R  Dff  Rto
001  3    2    0    N/A  1    1    0    1  
002  3    2    0    N/A  1    1    0    1  
003  3    2    0    N/A  1    1    0    1  
004  4    3    0    N/A  1    2    1    2  
005  4    3    0    N/A  2    2    0    1  
006  4    3    0    N/A  2    2    0    1  
007  4    3    0    N/A  2    1    1    2  
008  4    3    0    N/A  3    1    2    3  
009  5    4    0    N/A  4    3    1    1  
010  5    4    0    N/A  6    1    5    6  
011  5    4    0    N/A  3    4    1    1  
012  5    4    0    N/A  5    2    3    2  
013  5    4    0    N/A  2    5    3    2  
014  5    4    0    N/A  3    3    0    1  
015  5    4    0    N/A  3    5    2    1  
016  5    4    0    N/A  4    3    1    1  
017  5    4    0    N/A  3    4    1    1  
018  5    4    0    N/A  4    4    0    1  
019  5    3    0    N/A  4    3    1    1  
020  5    3    0    N/A  3    6    3    2  
021  5    3    0    N/A  5    2    3    2  
022  5    3    0    N/A  5    4    1    1  
023  5    3    0    N/A  3    4    1    1  
024  5    3    0    N/A  3    5    2    1  
025  5    3    0    N/A  3    3    0    1  
026  5    3    0    N/A  5    2    3    2  
027  5    3    0    N/A  3    5    2    1  
028  5    3    0    N/A  5    3    2    1  
029  6    5    0    N/A  5    5    0    1  
030  6    5    0    N/A  4    6    2    1  
031  6    5    0    N/A  5    7    2    1  
032  6    5    0    N/A  4    6    2    1  
033  6    5    0    N/A  5    6    1    1  
034  6    4    0    N/A  4    7    3    1  
035  6    4    0    N/A  5    6    1    1  
036  6    4    0    N/A  7    4    3    1  
037  6    4    0    N/A  6    4    2    1  
038  6    4    0    N/A  6    5    1    1  
039  6    3    0    N/A  6    3    3    2  
040  6    3    0    N/A  6    5    1    1  
041  6    3    0    N/A  5    5    0    1  
042  6    3    0    N/A  7    4    3    1  
043  6    3    0    N/A  4    6    2    1  
044  7    6    0    N/A  8    7    1    1  
045  7    6    0    N/A  8    7    1    1  
046  7    5    0    N/A  7    7    0    1  
047  7    5    0    N/A  9    7    2    1  
048  7    4    0    N/A  7    7    0    1  
049  7    4    0    N/A  9    7    2    1  
